Point ID,alphat,arc_length,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
18,0.0010277,4.5,0,0,1837.21,0,9.01412e-05,0.76699,0.00087784,0.23301,101217,0.198844,-120.5,10.45,0,120.952,0,231.442,1.13935e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.0161e-05,-7.14601e-06,-2.37772e-07,1.24245e-05,1
19,0.00102733,4.75,0,0,1837.21,0,9.01379e-05,0.76699,0.000877517,0.23301,101217,0.19882,-120.25,10.45,0,120.703,0,218.783,1.07703e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.00609e-05,-7.10072e-06,-2.41726e-07,1.23167e-05,1
20,0.00102695,5,0,0,1837.21,0,9.01347e-05,0.76699,0.000877193,0.23301,101217,0.198796,-120,10.45,0,120.454,0,206.124,1.01471e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.96084e-06,-7.05543e-06,-2.45679e-07,1.22089e-05,1
21,0.00102657,5.25,0,0,1837.21,0,9.01315e-05,0.76699,0.00087687,0.23301,101217,0.198771,-119.75,10.45,0,120.205,0,193.465,9.52396e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.86077e-06,-7.01014e-06,-2.49632e-07,1.21012e-05,1
22,0.00102619,5.5,0,0,1837.21,0,9.01282e-05,0.76699,0.000876547,0.23301,101217,0.198747,-119.5,10.45,0,119.956,0,180.806,8.90078e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.7607e-06,-6.96486e-06,-2.53585e-07,1.19935e-05,1
23,0.00102581,5.75,0,0,1837.21,0,9.0125e-05,0.76699,0.000876223,0.23301,101217,0.198723,-119.25,10.45,0,119.707,0,168.147,8.2776e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.66064e-06,-6.91957e-06,-2.57539e-07,1.18859e-05,1
24,0.00102543,6,0,0,1837.21,0,9.01218e-05,0.76699,0.0008759,0.23301,101217,0.198699,-119,10.45,0,119.458,0,155.488,7.65442e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.56057e-06,-6.87428e-06,-2.61492e-07,1.17783e-05,1
25,0.00102505,6.25,0,0,1837.21,0,9.01185e-05,0.76699,0.000875577,0.23301,101217,0.198675,-118.75,10.45,0,119.209,0,142.829,7.03123e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.4605e-06,-6.82899e-06,-2.65445e-07,1.16708e-05,1
26,0.00102468,6.5,0,0,1837.21,0,9.01153e-05,0.76699,0.000875254,0.23301,101217,0.198651,-118.5,10.45,0,118.96,0,130.17,6.40805e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.36044e-06,-6.78371e-06,-2.69398e-07,1.15633e-05,1
27,0.0010243,6.75,0,0,1837.21,0,9.01121e-05,0.76699,0.00087493,0.23301,101217,0.198626,-118.25,10.45,0,118.711,0,117.511,5.78487e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.26037e-06,-6.73842e-06,-2.73352e-07,1.14558e-05,1
28,0.00102392,7,0,0,1837.21,0,9.01088e-05,0.76699,0.000874607,0.23301,101217,0.198602,-118,10.45,0,118.462,0,104.852,5.16169e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.1603e-06,-6.69313e-06,-2.77305e-07,1.13484e-05,1
29,0.00102354,7.25,0,0,1837.21,0,9.01056e-05,0.76699,0.000874284,0.23301,101217,0.198578,-117.75,10.45,0,118.213,0,92.1929,4.53851e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.06024e-06,-6.64784e-06,-2.81258e-07,1.1241e-05,1
